,pi_q,pi_e,hiato,de,pi_star_usd,pi_agr_usd,pi_met_usd,de_fim,pi_star_usd_fim,ipca_12m,rr_2a,rr_10a,g_rr,g_rr_fim,selic,selic_fim,pi_e_2a,pi_bcb,pi_is_q,pi_ia_q,pi_ii_q,pi_im_q,wq_is,wq_ia,wq_ii,wq_im,meta_12m,meta_24m,completo
2009Q2,1.3156841215999693,4.099016393442623,-1.89,-10.888251392285653,6.286959478155207,6.203124079074396,16.249129280967445,-17.084652793553722,12.244894132427575,4.8,6.171604636393442,6.872489004590164,-0.7008843681967214,-0.4419025300000001,10.35989010989011,9.25,4.402455762390458,4.2,1.5579453811999988,1.2739610763999876,1.3858469599999923,1.043396519000006,0.33227300636196183,0.1502380985714086,0.23843956936258381,0.2790493257040458,4.5,4.5,True
2009Q3,0.6312968640000083,4.107692307692307,-1.26,-10.407385578648976,6.542330916217676,4.4289883499453175,16.176356004424797,-9.310417047977992,5.454163882849805,4.34,5.89935401921875,6.43043678390625,-0.5310827646875005,-0.19378898999999983,8.869565217391305,8.75,4.444280103195914,4.7,1.2349565416000186,-1.1654499052,0.35003088449998554,1.1036163744000183,0.33334833325833374,0.14919325403372985,0.23715281423592888,0.28030559847200764,4.5,4.5,True
2009Q4,1.0637052475999997,4.351904761904762,-0.33,-7.172346831719755,9.903607331243158,7.673611645250844,12.282628084972647,-2.0970847783759683,10.641786292793043,4.31,6.232754766666667,6.621363446,-0.3886086793333332,-0.2511647299999993,8.75,8.75,4.492614973436329,4.2,1.154154499999982,0.038820377599990685,1.295478647900028,1.3358705680000194,0.3339176678353357,0.14745529491058984,0.2378474756949514,0.28077956155912315,4.5,4.5,True
2010Q1,2.063836420000009,4.5167213114754095,0.27,3.484386643839643,3.1509976894636083,2.5097430055531333,6.4691571937324,2.2600473611519067,-2.509107341036021,5.17,6.153365009,6.505860389,-0.3524953800000006,-0.16051514000000022,8.75,8.75,4.538085860795997,4.3,2.8750374415999813,4.555111849999993,0.6208991557999921,1.1117311195999902,0.33686365254538986,0.147998408006368,0.2352740589037644,0.2798638805444778,4.5,4.5,True
2010Q2,1.0024510000000042,4.75516129032258,0.7,-0.4264850122077113,-5.551124481358727,-7.581314777364145,-0.26066365470001074,1.1444646898486344,-4.936351697253194,4.84,6.60218090532258,6.385973274354838,0.21620763096774187,0.34197916000000017,9.442307692307692,10.25,4.68516018635049,4.6,1.6994132223999925,0.11706169920000509,1.1442080490000173,0.5910265544000204,0.33749902499414997,0.15149190895145367,0.2341304047824287,0.2768786612719676,4.5,4.5,True
2010Q3,0.500229017999998,5.006461538461538,0.97,-2.4219219900404543,7.301481724618508,9.632588454644253,3.5751383952243643,-6.140899819069745,15.574156592693011,4.7,6.14864856609375,6.162806790625,-0.014158224531249708,-0.033797990000000055,10.63586956521739,10.75,4.6268431527404825,4.6,1.1745317792000165,-0.5286989799999975,0.22999599080000266,0.5005569392000142,0.34156458435415643,0.14598354016459836,0.23470365296347034,0.2777482225177748,4.5,4.5,True
2010Q4,2.226218217499998,5.255873015873016,1.22,-3.086684949092844,17.837774748052926,19.720558827128443,18.45360341238944,-1.666506845664173,16.93412318395522,5.91,5.9677198930158735,5.93545636,0.03226353301587359,0.29312752000000053,10.75,10.75,4.566317807981056,4.1,2.1651850999999667,6.310070272000012,1.4166343679999915,0.8926305739999973,0.34057942753255793,0.15261798403379243,0.23271502529532884,0.2740875631383208,4.5,4.5,True
2011Q1,2.4395694559999903,5.4030645161290325,1.39,-1.7399637230251397,14.412885436360057,16.102580031941383,10.781129922404897,-2.2763433961293655,11.100688254584501,6.3,6.368822849824562,6.158890599649123,0.20993225017543882,-0.1022673799999998,11.305555555555555,11.75,4.667862599633483,4.4,3.742138041800014,1.765430537999979,1.003235379199996,2.479269388999983,0.34524510720596485,0.15244237198134783,0.22985506869561828,0.27245745211706907,4.5,4.5,True
2011Q2,1.3954844285000156,5.208548387096775,1.4,-4.356596503213256,-2.242622217571988,-4.456091392735306,1.1639201289969314,-4.239144961689423,-7.003944405762219,6.71,6.64302401,6.327363293387097,0.3156607166129035,0.36574498000000055,11.994505494505495,12.25,4.845438056125943,4.9,1.8209047415000068,0.3263520127999797,1.0933703779999915,1.7248784860000033,0.3455154186079303,0.15183406283843986,0.22773759416315914,0.27491292439047077,4.5,4.5,True
2011Q3,1.0634041376000214,5.485846153846154,1.15,2.4404522964702746,-3.875593014048029,-3.28508597651469,-6.098155083675838,17.217049262286643,-2.416140242350995,7.31,5.675551742615385,6.138768512923077,-0.46321677030769237,-1.3826985800000005,12.282608695652174,12.0,4.857429579318697,5.1,1.5984408824000207,0.451351692799995,0.812145848000001,0.9420715393999801,0.34886009316055894,0.14956789740738444,0.22827436964621786,0.2732976397858387,4.5,4.5,True
