,h,h_l1,s_h,rr_IS,rr_TAY,rr_IS_total,rr_TAY_total,r_hat
2015Q2,0.04210808873228278,0.884106535538588,-0.5906446451640589,0.15994546437145596,-0.11510484571189228,5.143474628954845,4.868424318871497,1.8378476183269448
2015Q3,-0.8587546833734058,0.042108088732282556,-0.792258882573113,0.14829286457497914,-0.08293540160127505,5.105664924514193,4.874436658337939,2.0715563675407846
2015Q4,-1.711952940358375,-0.8587546833734059,-0.853366525034985,0.14087361830928855,-0.06798829076386317,5.0478841443081155,4.839022235234964,2.0448546023957155
2016Q1,-2.3381458319323984,-1.7119529403583755,-0.8618124727655165,0.13809974612475737,-0.04117946033796521,4.969289980031239,4.7900107735685165,2.5415653739257356
2016Q2,-2.7493775300912318,-2.3381458319323984,-0.8093000635867037,0.13678610385605747,-0.021309091484443876,4.866809038800427,4.708713843459925,1.576032676484822
2016Q3,-3.0534599848229904,-2.7493775300912313,-0.7605102130111587,0.138670295486575,-0.015213480781779795,4.743965466581284,4.590081690312929,1.7889528717538818
2016Q4,-3.077345850094762,-3.0534599848229904,-0.6768658734681585,0.1461844679834361,-0.030243087134924712,4.606048464060872,4.429620908942511,1.5010963647757358
2017Q1,-2.966348815807062,-3.077345850094762,-0.5037176975005858,0.15139573459481948,-0.061099697580161816,4.44918696268683,4.236691530511848,0.2758670881372423
2017Q2,-2.7450869728102494,-2.966348815807062,-0.40035875519306924,0.15364273528959999,-0.08028010864315313,4.277810971147965,4.043888127215212,-0.3595377246628489
2017Q3,-2.414217290141113,-2.74508697281025,-0.37628956838157435,0.15702311829247328,-0.09997875939427692,4.1013765456531175,3.8443746679663673,-0.8597566149549647
2017Q4,-2.0774042025736934,-2.414217290141113,-0.3444044505013678,0.16190933078341746,-0.10434198764705091,3.9254858569980495,3.659234538567581,-0.9307359932327881
2018Q1,-1.7463647569876404,-2.0774042025736934,-0.29552384238677243,0.16630890368873458,-0.10939793855434884,3.752936951289435,3.4772301090463515,-0.9108150047224057
2018Q2,-1.4705813210893663,-1.7463647569876404,-0.26942752794427716,0.16993381142376204,-0.13125214218384423,3.5877518014589502,3.286565847851344,-0.8204053438250163
2018Q3,-1.2843173320480805,-1.4705813210893666,-0.27105708795177086,0.1738322475999795,-0.15461392195753307,3.4348232833212684,3.106377113763756,0.20995726082657878
2018Q4,-1.1612064674101201,-1.2843173320480803,-0.2784615271559272,0.17996910964703322,-0.18418349960196423,3.299554431801479,2.935401822552482,0.433007197415819
2019Q1,-1.149747648666474,-1.1612064674101201,-0.2506773626921397,0.1838591114159114,-0.2145744587565916,3.18113796668878,2.7827043965162765,-0.37150129295307344
2019Q2,-1.1986143109323726,-1.149747648666474,-0.28074971265208776,0.18245711702718642,-0.2442492302133622,3.0805898682338655,2.653883520993317,-0.05462002875140823
2019Q3,-1.3007643747287143,-1.198614310932373,-0.43392843848668616,0.17617092771985665,-0.2777090964066118,3.002261777442399,2.548381753315931,-1.2696521078512106
