,persistencia,ancora_real,meta,desvio_expectativa,total,residuo
2006Q4,11.138427473738986,1.5892942391397136,0.7833247389509375,-0.11552507625157182,13.416666666666666,0.02114529108860097
2007Q1,10.422313755885709,1.5459329607215024,0.7833247389509375,-0.1766755877440111,12.916666666666666,0.3417707988525276
2007Q2,10.33879219179758,1.500319996622504,0.7833247389509375,-0.29379600954696006,12.333333333333334,0.00469241550927002
2007Q3,9.80209389528648,1.45478916099409,0.7833247389509375,-0.24344417772208796,11.416666666666666,-0.38009695084275563
2007Q4,8.82536514327605,1.4118549460715313,0.7833247389509375,-0.15995086731664845,11.25,0.3894060390181302
2008Q1,9.181874034687254,1.3670765484068248,0.7833247389509375,-0.06308372233829049,11.25,-0.019191599706726237
2008Q2,9.291688152622656,1.3228368310174947,0.7833247389509375,0.04827900882573002,11.916666666666666,0.4705379352498458
2008Q3,10.281563181556722,1.2761426381859955,0.7833247389509375,0.2287233656590904,13.25,0.6802460756472541
2008Q4,11.822056767683243,1.225752509961954,0.7833247389509375,0.22220954112718533,13.75,-0.3033435577233199
2009Q1,11.68595009590057,1.1776517584848227,0.7833247389509375,0.027352331517670962,12.25,-1.4242789248540006
2009Q2,9.129288926992707,1.13875285086723,0.7833247389509375,-0.11778838537363241,9.916666666666666,-1.0169114647705761
2009Q3,6.6530533871421,1.1068537375918008,0.7833247389509375,-0.11523984744240863,8.75,0.32200798375757067
2009Q4,6.458169737603131,1.0740869169523575,0.7833247389509375,-0.043502773408931675,8.75,0.4779213799025044
2010Q1,7.226868563150955,1.039408827897076,0.7833247389509375,0.004911862350004184,8.75,-0.3045139923489728
2010Q2,7.226868563150955,1.0072772561585424,0.7833247389509375,0.07495327964897443,9.75,0.6575761620905904
2010Q3,8.711681106552057,0.9719147749455761,0.7833247389509375,0.14877238344329755,10.75,0.13430699610813157
2010Q4,9.537608942340736,0.9364096219337822,0.7833247389509375,0.22203666342264997,10.75,-0.7293799666481053
2011Q1,8.878724234728317,0.905935623714513,0.7833247389509375,0.2652739650787663,11.416666666666666,0.5834081041941328
2011Q2,9.868599263662382,0.8729219981010555,0.7833247389509375,0.2081351185195608,12.083333333333334,0.3503522140993969
2011Q3,10.41921782085484,0.8390658608281072,0.7833247389509375,0.28959095780821725,12.333333333333334,0.002133954891231582
2011Q4,10.351164484963498,0.8069302255336961,0.7833247389509375,0.3080096529696481,11.333333333333334,-0.9160957690844462
2012Q1,8.701630764659294,0.7825846687933187,0.7833247389509375,0.24451076501225877,10.25,-0.2620509374158093
2012Q2,7.751968550253853,0.7627582692488205,0.7833247389509375,0.2927062968845539,8.666666666666666,-0.9240911886714986
2012Q3,6.1148071231155665,0.7518528144227771,0.7833247389509375,0.3195893305955691,7.666666666666667,-0.3029073404181828
2012Q4,5.673228700100799,0.7465120513188007,0.7833247389509375,0.27309146896124464,7.25,-0.2261569593317816
2013Q1,5.713441514629426,0.746325976554686,0.7833247389509375,0.2971267399890099,7.25,-0.29021897012405873
2013Q2,5.987976809467934,0.7514103929514537,0.7833247389509375,0.31981299336748364,7.833333333333333,-0.009191601404475946
2013Q3,6.854117459785243,0.7595488927619269,0.7833247389509375,0.43296767875688497,8.833333333333334,0.003374563078340387
2013Q4,7.954580590412434,0.7699078090900892,0.7833247389509375,0.48298700644221954,9.833333333333334,-0.15746681156234565
2014Q1,8.780508426201113,0.782533373885006,0.7833247389509375,0.4583923304871658,10.666666666666666,-0.13809220285755686
2014Q2,9.358967504756276,0.7963276718060209,0.7833247389509375,0.43055844383714154,11.0,-0.369178359350375
2014Q3,9.304834429546293,0.8116904632332451,0.7833247389509375,0.48063507019897234,11.0,-0.38048470192944706
2014Q4,9.085206193675486,0.827791245921972,0.7833247389509375,0.5834751648348769,11.416666666666666,0.13686932328339374
2015Q1,9.703878086759278,0.8407236734658649,0.7833247389509375,0.5992953622137597,12.416666666666666,0.48944480527682543
2015Q2,10.914155335321873,0.8476132897566675,0.7833247389509375,0.43985245789156147,13.416666666666666,0.43172084474562666
2015Q3,11.74008317111055,0.8481237671605113,0.7833247389509375,0.3701684668238305,14.25,0.5082998559541707
