,pi_L,pi_IPCA,pi_A,pi_e,i_e,meta,pi_star,de_hat,Zel,Yla,selic,i_dif,de,r_focus,rr_trend,hp_ciclo,rp_hat,fpib,fnuci,femp,fcaged
2006Q2,-0.23358113887536058,0.35838160108816464,1.4872579321753898,4.209016393442623,13.743269263136627,4.5,-1.1034097675057994,-1.059053341747398,-14.016666666666666,30.593333333333337,15.583333333333334,,-0.43405334174739796,9.534252869694004,8.83474383338125,0.6995090363127545,0.2834405459052247,-1.1125048949891152,1.6606482841768866,-0.38843508305826546,0.3950308319576834
2006Q3,0.9498745784882523,0.773368139919528,0.4702125807368729,4.395625,13.308013560917185,4.5,-2.175558489863075,-1.4050362592819021,0.19666666666666677,8.933333333333335,14.416666666666666,,-0.7800362592819021,8.912388560917186,8.652992661695006,0.25939589922218076,0.0034192724729815716,-0.5435129863413408,2.4782731799791975,-0.14252341683831204,0.8607280337505472
2006Q4,1.0690072496767566,0.9119236974460376,0.621833537311689,4.106721311475409,12.227862945236218,4.5,-0.08121353956444977,-1.4989142255998256,32.453333333333326,-30.593333333333337,13.416666666666666,,-0.8739142255998256,8.121141633760809,8.464819368102578,-0.3436777343417692,-0.1557299873189142,-0.4720048802410588,2.3560701987960897,0.31559078433989285,0.24603939699295552
2007Q1,1.0369683455516032,0.933223811567907,0.5916821292428986,3.8985483870967745,11.458128436113132,4.5,-1.4385020712129504,-2.6635714412411438,34.066666666666656,-31.24666666666667,12.916666666666666,,-2.0385714412411438,7.559580049016358,8.272861053240687,-0.7132810042243296,-0.25215038008643376,0.2699677772823179,3.1033220718225323,0.22582964462253052,-0.8944703221659438
2007Q2,0.9595679671898338,0.949354600242458,0.9483905582326146,3.4998387096774195,10.651978869974169,4.5,-6.3244099810915495,-6.822717792846813,28.06666666666666,-15.603333333333335,12.333333333333334,,-6.197717792846813,7.152140160296749,8.079540019162089,-0.9273998588653392,-0.4617024144759838,0.8431418280108574,3.9520983878629607,0.261462037196198,0.11416581096887057
2007Q3,1.9217741778993824,1.2832839158753995,-0.08669832685463952,3.67125,10.251092145790553,4.5,-1.6770655833692718,-3.9149322266116804,-30.839999999999993,26.03000000000001,11.416666666666666,,-3.2899322266116804,6.579842145790552,7.886832767291895,-1.3069906215013427,-0.4989510037295297,0.7752149854713366,4.0650360574233275,0.46528772003773256,0.5235062146768996
2007Q4,1.6983102400299543,1.2515327464285964,0.28726541244292747,3.955483870967742,10.458064610937798,4.5,-0.7050460235660483,-7.731181792123001,-34.066666666666656,101.68333333333334,11.25,,-7.106181792123001,6.502580739970057,7.696136174143431,-1.1935554341733745,-0.4338620717096129,1.1751026308974133,4.727772041184096,0.5801500120824876,0.5233599515522656
2008Q1,1.309664561275392,1.183916686071007,0.696271074224164,4.285245901639344,11.11599196597884,4.5,8.996281234180751,-3.3628455248134093,-31.06666666666666,169.07,11.25,6.737379487179488,-2.7378455248134093,6.830746064339495,7.508030247091584,-0.6772841827520892,-0.07918744185030935,1.3503363441704437,4.909950948739294,0.9164024422793702,-0.2390833755237054
2008Q2,2.7814411546697837,2.158431800416194,0.7619256783213624,4.664354838709677,12.896712371111262,4.5,2.744950288056984,-5.450572103725529,-1.6133333333333335,148.85,11.916666666666666,8.567423076923077,-4.825572103725529,8.232357532401585,7.322349021364877,0.9100085110367075,-0.18656171950315037,2.281206771434313,5.089571954693085,1.2222141740553543,0.8616821432765391
2008Q3,1.6639605791753942,1.521435131717741,1.2438565902625598,5.278636363636363,14.104816543255964,4.5,-4.760597709176565,0.061812149451909715,0.0,0.6133333333333297,13.25,10.062557575757577,0.6868121494519097,8.826180179619602,7.138503229577611,1.6876769500419906,-0.3212933937257376,2.8359600064599135,4.664300066011833,1.4264491498699199,1.9026813318964741
